#,entry_date,side,result,pnl_$,consec_losses,balance_$
1,2025-01-13 05:00,SHORT,WIN,0.0241,0,1.0241
2,2025-01-28 22:00,LONG,LOSS,-0.0373,1,0.9869
3,2025-02-08 11:00,LONG,LOSS,-0.0061,2,0.9807
4,2025-02-12 18:00,SHORT,LOSS,-0.0175,3,0.9632
5,2025-02-16 14:00,LONG,LOSS,-0.0189,4,0.9444
6,2025-02-22 13:00,SHORT,WIN,0.0755,0,1.0198
7,2025-03-03 15:00,LONG,LOSS,-0.0665,1,0.9534
8,2025-03-04 22:00,SHORT,WIN,0.0319,0,0.9853
9,2025-03-16 23:00,LONG,WIN,0.0501,0,1.0354
10,2025-03-27 04:00,SHORT,WIN,0.0695,0,1.1048
11,2025-04-05 14:00,LONG,LOSS,-0.0243,1,1.0805
12,2025-04-10 16:00,LONG,WIN,0.0685,0,1.149
13,2025-04-20 21:00,SHORT,LOSS,-0.0104,1,1.1386
14,2025-04-27 06:00,LONG,WIN,0.029,0,1.1676
15,2025-05-10 16:00,LONG,LOSS,-0.0145,1,1.1531
16,2025-05-14 18:00,LONG,WIN,0.0915,0,1.2446
17,2025-05-24 12:00,SHORT,WIN,0.0378,0,1.2824
18,2025-06-05 13:00,SHORT,LOSS,-0.03,1,1.2524
19,2025-06-14 17:00,LONG,LOSS,-0.0252,2,1.2271
20,2025-06-27 05:00,SHORT,LOSS,-0.0138,3,1.2133
21,2025-07-06 15:00,SHORT,LOSS,-0.0202,4,1.1931
22,2025-07-14 16:00,LONG,LOSS,-0.0381,5,1.155
23,2025-07-16 19:00,SHORT,WIN,0.0076,0,1.1626
24,2025-07-29 04:00,SHORT,WIN,0.0473,0,1.2099
25,2025-08-06 00:00,SHORT,LOSS,-0.0216,1,1.1883
26,2025-08-09 17:00,LONG,WIN,0.045,0,1.2333
27,2025-08-13 06:00,LONG,WIN,0.0439,0,1.2772
28,2025-08-18 22:00,SHORT,WIN,0.0425,0,1.3196
29,2025-09-02 04:00,SHORT,LOSS,-0.0399,1,1.2798
30,2025-09-16 14:00,LONG,LOSS,-0.0119,2,1.2678
31,2025-09-24 15:00,SHORT,LOSS,-0.0329,3,1.2349
32,2025-10-05 11:00,LONG,LOSS,-0.0216,4,1.2133
33,2025-10-08 18:00,SHORT,WIN,0.1167,0,1.3299
34,2025-10-11 05:00,SHORT,WIN,0.0552,0,1.3851
35,2025-10-28 14:00,SHORT,WIN,0.0746,0,1.4597
36,2025-11-06 17:00,LONG,LOSS,-0.0436,1,1.4161
37,2025-11-20 03:00,SHORT,WIN,0.0213,0,1.4374
38,2025-11-30 22:00,LONG,LOSS,-0.0193,1,1.4181
39,2025-12-05 17:00,LONG,LOSS,-0.0586,2,1.3596
40,2025-12-18 03:00,SHORT,LOSS,-0.0268,3,1.3328
41,2025-12-25 16:00,SHORT,LOSS,-0.0405,4,1.2923
42,2026-01-07 03:00,SHORT,LOSS,-0.0297,5,1.2626
43,2026-01-18 10:00,SHORT,WIN,0.0191,0,1.2817
44,2026-01-24 01:00,LONG,LOSS,-0.0169,1,1.2648
45,2026-02-02 10:00,SHORT,WIN,0.1732,0,1.438
46,2026-02-09 11:00,LONG,LOSS,-0.0363,1,1.4017
47,2026-02-11 22:00,SHORT,LOSS,-0.0557,2,1.3459
48,2026-02-16 13:00,SHORT,WIN,0.0965,0,1.4424
49,2026-02-27 13:00,LONG,WIN,0.0564,0,1.4989
50,2026-03-11 20:00,SHORT,LOSS,-0.027,1,1.4718
51,2026-03-13 23:00,LONG,LOSS,-0.0383,2,1.4336
52,2026-03-24 18:00,LONG,LOSS,-0.0454,3,1.3881
53,2026-04-01 07:00,SHORT,LOSS,-0.0696,4,1.3185
54,2026-04-10 08:00,LONG,WIN,0.107,0,1.4256
55,2026-04-21 03:00,LONG,LOSS,-0.0181,1,1.4075
56,2026-04-26 00:00,SHORT,LOSS,-0.0093,2,1.3981
57,2026-05-04 12:00,LONG,WIN,0.0138,0,1.4119
58,2026-05-15 06:00,LONG,LOSS,-0.0342,1,1.3777
59,2026-05-18 13:00,SHORT,WIN,0.0626,0,1.4403
60,2026-05-29 15:00,LONG,LOSS,-0.0239,1,1.4164
61,2026-06-10 16:00,SHORT,LOSS,-0.0475,2,1.3689
62,2026-06-14 15:00,LONG,WIN,0.0613,0,1.4302
63,2026-06-22 00:00,LONG,LOSS,-0.0386,1,1.3916
64,2026-06-25 00:00,SHORT,LOSS,-0.0305,2,1.3612
