dir,entry_bar,exit_bar,lots,pnl,equity
-1,658,658,222,-38.707825245961565,961.2921747540385
-1,775,818,237,-202.68212285219914,758.6100519018394
-1,893,1050,145,1618.6450954481002,2377.2551473499398
1,1686,1702,275,-471.9669974414994,1905.2881499084403
-1,2037,2042,275,-560.2436903634998,1345.0444595449405
-1,3076,3076,181,-35.426052923298066,1309.6184066216424
-1,3196,3272,239,767.3313331280027,2076.9497397496452
-1,3365,3412,470,-524.1585436423936,1552.7911961072516
1,4364,4398,245,-136.03016759079864,1416.761028516453
1,5014,5044,462,-351.03190886147604,1065.729119654977
-1,5150,5193,198,392.8389060380414,1458.5680256930184
1,6291,6342,265,-252.0292461349992,1206.538779558019
-1,6414,6462,163,1298.5984938923602,2505.1372734503793
-1,6519,6625,319,1733.5311853580629,4238.668458808443
-1,7078,7090,690,-659.5332564617936,3579.135202346649
1,7112,7180,550,1378.3871147970037,4957.522317143653
-1,7387,7387,889,-147.86347893590371,4809.658838207749
1,8655,8747,2614,11314.17678496092,16123.83562316867
-1,9398,9413,2697,-2895.1775279469625,13228.658095221708
-1,9509,9595,2689,2424.5971948170545,15653.255290038764
1,9610,9653,3501,-1399.3455491443383,14253.909740894425
1,9773,9773,1456,-173.6484557808156,14080.26128511361
-1,11693,11733,4297,-1701.5052800516985,12378.75600506191
-1,12015,12163,9336,110667.31790556102,123046.07391062293
-1,12526,12568,73202,63251.87985385381,186297.95376447676
-1,12592,12596,33659,-21710.673579043414,164587.28018543334
-1,12699,12749,61740,21931.954599114335,186519.23478454768
