#,entry_date,exit_date,side,entry,exit,pnl_$,result,consec_losses,balance_$
1,2025-01-12 21:00,2025-01-12 22:00,LONG,94620.2,93802.5,-5.64,LOSS,1,994.36
2,2025-01-13 04:00,2025-01-13 10:00,SHORT,94362.2,91707.3,20.24,WIN,0,1014.6
3,2025-01-13 20:00,2025-01-14 09:00,SHORT,92462.0,95915.5,-5.22,LOSS,1,1009.38
4,2025-01-20 02:00,2025-01-20 02:00,LONG,104347.0,102242.5,-5.32,LOSS,2,1004.06
5,2025-01-20 06:00,2025-01-20 06:00,SHORT,102561.2,105621.5,-5.21,LOSS,3,998.85
6,2025-01-29 04:00,2025-01-29 19:00,SHORT,102016.0,103797.0,-5.31,LOSS,4,993.54
7,2025-01-31 15:00,2025-02-02 03:00,SHORT,105148.5,99775.1,20.59,WIN,0,1014.13
8,2025-02-08 09:00,2025-02-08 15:00,LONG,96239.5,95631.0,-5.95,LOSS,1,1008.18
9,2025-02-09 12:00,2025-02-09 21:00,LONG,96430.0,95569.0,-5.66,LOSS,2,1002.52
10,2025-02-13 06:00,2025-02-18 16:00,LONG,96457.5,94824.0,-5.34,LOSS,3,997.18
11,2025-02-22 12:00,2025-02-25 07:00,SHORT,96749.2,88644.7,20.84,WIN,0,1018.02
12,2025-03-03 14:00,2025-03-04 01:00,LONG,89627.2,84287.0,-5.18,LOSS,1,1012.84
13,2025-03-04 21:00,2025-03-14 21:00,SHORT,88195.8,59510.6,2.95,WIN,0,1015.78
14,2025-03-16 17:00,2025-03-17 18:00,SHORT,83392.5,84453.0,-5.52,LOSS,1,1010.27
15,2025-03-18 01:00,2025-03-18 13:00,LONG,83328.8,81947.0,-5.39,LOSS,2,1004.88
16,2025-03-20 16:00,2025-03-30 16:00,LONG,84272.0,81113.0,-3.36,LOSS,3,1001.52
17,2025-04-04 15:00,2025-04-06 17:00,LONG,82927.2,81174.5,-5.27,LOSS,4,996.25
18,2025-04-10 15:00,2025-04-20 15:00,LONG,79068.0,98066.5,5.72,WIN,0,1001.97
19,2025-04-20 20:00,2025-04-21 00:00,SHORT,84752.2,85601.5,-5.56,LOSS,1,996.41
20,2025-04-27 05:00,2025-05-07 05:00,LONG,93686.2,102438.9,6.16,WIN,0,1002.57
21,2025-05-10 15:00,2025-05-12 18:00,LONG,103190.2,102285.5,-5.64,LOSS,1,996.93
22,2025-05-14 09:00,2025-05-22 03:00,LONG,102827.0,111862.4,20.85,WIN,0,1017.78
23,2025-05-24 11:00,2025-06-03 11:00,SHORT,109358.5,98300.4,7.77,WIN,0,1025.55
24,2025-06-05 12:00,2025-06-09 09:00,SHORT,105446.0,106766.0,-5.58,LOSS,1,1019.97
25,2025-06-14 16:00,2025-06-20 17:00,LONG,104405.2,102625.5,-5.43,LOSS,2,1014.54
26,2025-06-26 21:00,2025-06-29 10:00,SHORT,107382.5,108255.0,-5.76,LOSS,3,1008.78
27,2025-06-29 18:00,2025-06-30 14:00,LONG,107780.2,107050.5,-5.86,LOSS,4,1002.92
28,2025-07-06 13:00,2025-07-09 19:00,SHORT,108853.8,110497.0,-5.38,LOSS,5,997.54
29,2025-07-14 15:00,2025-07-15 04:00,LONG,119947.2,116622.5,-5.19,LOSS,6,992.36
30,2025-07-16 15:00,2025-07-26 15:00,SHORT,119481.0,103422.3,1.6,WIN,0,993.96
31,2025-07-29 03:00,2025-08-01 19:00,SHORT,118615.5,113496.3,20.52,WIN,0,1014.48
32,2025-08-05 23:00,2025-08-07 10:00,SHORT,114147.8,115698.0,-5.48,LOSS,1,1008.99
33,2025-08-09 16:00,2025-08-11 02:00,LONG,116891.2,121242.7,20.74,WIN,0,1029.73
34,2025-08-13 02:00,2025-08-14 00:00,LONG,119186.8,123824.1,21.19,WIN,0,1050.92
35,2025-08-17 19:00,2025-08-18 00:00,LONG,117825.0,117101.0,-6.2,LOSS,1,1044.73
36,2025-08-18 17:00,2025-08-28 17:00,SHORT,116582.5,108252.4,10.9,WIN,0,1055.63
37,2025-08-31 10:00,2025-09-01 04:00,LONG,108376.8,107302.0,-5.86,LOSS,1,1049.77
38,2025-09-01 15:00,2025-09-01 21:00,LONG,109020.5,108164.0,-5.98,LOSS,2,1043.79
39,2025-09-04 22:00,2025-09-05 07:00,SHORT,110923.2,112551.0,-5.61,LOSS,3,1038.18
40,2025-09-05 18:00,2025-09-15 18:00,LONG,111325.8,119925.9,9.76,WIN,0,1047.93
41,2025-09-16 13:00,2025-09-22 00:00,LONG,115165.5,114351.0,-6.05,LOSS,1,1041.88
42,2025-09-25 01:00,2025-09-25 13:00,LONG,112452.2,110997.0,-5.65,LOSS,2,1036.22
43,2025-09-27 01:00,2025-09-29 13:00,LONG,109418.2,112983.9,21.21,WIN,0,1057.43
44,2025-10-05 10:00,2025-10-07 15:00,LONG,123649.8,121463.5,-5.62,LOSS,1,1051.82
45,2025-10-08 17:00,2025-10-10 21:00,SHORT,123366.8,111341.8,22.03,WIN,0,1073.84
46,2025-10-11 03:00,2025-10-21 03:00,SHORT,111762.5,69072.1,1.4,WIN,0,1075.24
47,2025-10-28 13:00,2025-10-30 04:00,SHORT,114914.8,108657.1,22.31,WIN,0,1097.55
48,2025-11-02 18:00,2025-11-02 22:00,LONG,110438.5,109663.0,-6.35,LOSS,1,1091.21
49,2025-11-06 15:00,2025-11-13 18:00,LONG,101700.0,98896.5,-5.67,LOSS,2,1085.53
50,2025-11-16 07:00,2025-11-17 19:00,SHORT,95809.2,91597.6,22.42,WIN,0,1107.95
51,2025-11-17 20:00,2025-11-17 20:00,LONG,95416.5,94815.0,-6.51,LOSS,1,1101.44
52,2025-11-20 02:00,2025-11-30 02:00,SHORT,91187.0,80135.3,0.7,WIN,0,1102.14
53,2025-11-30 21:00,2025-12-01 00:00,LONG,91027.2,90110.5,-6.11,LOSS,1,1096.03
54,2025-12-07 13:00,2025-12-07 14:00,LONG,88883.5,88008.0,-6.09,LOSS,2,1089.94
55,2025-12-08 00:00,2025-12-14 11:00,LONG,90304.5,88878.5,-5.83,LOSS,3,1084.11
56,2025-12-15 05:00,2025-12-25 05:00,SHORT,89068.8,82542.1,4.42,WIN,0,1088.53
57,2025-12-26 08:00,2025-12-26 08:00,SHORT,87738.8,88577.5,-6.07,LOSS,1,1082.46
58,2025-12-26 14:00,2026-01-05 14:00,LONG,87955.0,94618.2,18.39,WIN,0,1100.85
59,2026-01-07 00:00,2026-01-13 22:00,SHORT,92994.0,94770.0,-5.82,LOSS,1,1095.03
