dir,entry_bar,exit_bar,lots,pnl,equity
-1,143,174,8,-2.292835057759948,97.70716494224006
-1,306,323,8,-14.489599452379986,83.21756548986006
1,533,540,5,-12.02874550287388,71.18881998698619
1,582,589,12,-11.97829918995955,59.21052079702664
-1,666,687,6,4.1659630824,63.37648387942664
1,704,743,5,-2.9783596777999737,60.398124201626665
-1,846,848,7,-5.334299340719966,55.0638248609067
-1,928,1050,13,140.9990079534401,196.0628328143468
1,1060,1086,17,3.5941719708800974,199.6570047852269
1,1116,1116,12,-1.8586774826398698,197.798327302587
1,1431,1469,21,-31.21140364774595,166.58692365484106
-1,1519,1549,10,1.4770200382000456,168.0639436930411
-1,1783,1783,34,-5.101664484280218,162.9622792087609
1,1853,1853,14,-2.0749757237997524,160.88730348496114
-1,1912,2000,32,163.60940087039978,324.4967043553609
1,2001,2021,7,-10.252558437519996,314.2441459178409
1,2094,2102,35,-31.680601175299753,282.5635447425412
-1,2123,2136,26,-28.480590841039835,254.08295390150136
1,2166,2215,24,-9.08842983648013,244.99452406502124
-1,2269,2269,70,-10.704239636999562,234.29028442802166
-1,2565,2604,54,28.575956858040406,262.86624128606206
1,2653,2759,42,358.21252315715975,621.0787644432219
1,2852,2853,86,-61.71243928552019,559.3663251577017
1,2940,2948,57,-70.02696943949903,489.3393557182027
1,2990,3046,31,110.40959425755976,599.7489499757625
1,3152,3162,40,-71.84177007199962,527.9071799037629
-1,3196,3271,71,250.71203709200105,778.619216995764
1,3292,3292,135,-25.316518512600858,753.3026984831631
-1,3345,3364,85,-66.98951971439963,686.3131787687635
-1,3388,3412,59,-111.01790537463351,575.2952733941299
1,3602,3612,100,-58.560582421998696,516.7346909721313
1,3620,3650,67,-42.53750810421946,474.1971828679118
-1,3754,3789,50,35.72467167299989,509.9218545409117
1,3949,3966,117,-93.46925796176394,416.4525965791477
-1,4136,4154,64,-66.58804324351996,349.86455333562776
1,4160,4313,92,911.6578767644811,1261.522430100109
-1,4357,4377,106,-22.646582555438986,1238.87584754467
1,4380,4398,101,-201.94542987896304,1036.930417665707
-1,4464,4464,147,-31.48316335709928,1005.4472543086076
-1,4590,4602,191,-92.82530254057866,912.621951768029
