dir,entry_bar,exit_bar,lots,pnl,equity
-1,182,207,503,-158.80307707858182,841.1969229214181
-1,353,363,201,-230.15025172398057,611.0466711974376
1,510,541,214,448.957754216879,1060.0044254143165
-1,1021,1075,571,2613.892958611264,3673.8973840255803
-1,1093,1106,1242,-1054.7631930830332,2619.1341909425473
1,1855,1872,529,-421.90026163214156,2197.233929310406
1,2091,2102,1116,-480.4211401192752,1716.8127891911308
-1,3106,3122,917,-384.8880711227976,1331.9247180683333
-1,3219,3221,608,-399.2867976128016,932.6379204555317
-1,3730,3739,444,-283.002992103838,649.6349283516937
-1,3772,3820,217,548.6725680987591,1198.3074964504528
-1,3837,3879,564,1852.8211761139228,3051.128672564376
-1,3968,4006,659,1253.8611604319037,4304.98983299628
1,4566,4579,1264,-1187.2434183884832,3117.7464146077964
-1,4753,4757,807,-847.3332440975958,2270.413170510201
-1,4845,4889,652,1022.9550662803231,3293.368236790524
1,5311,5312,785,284.1445352437009,3577.512772034225
-1,5687,5692,1940,-1083.0462220512034,2494.4665499830217
1,6557,6571,919,-686.606857078833,1807.8596929041887
-1,6921,6960,1214,598.8605122885996,2406.7202051927884
-1,7069,7093,899,-152.69210267767735,2254.028102515111
1,7129,7152,470,-165.39599251820238,2088.6321099969086
1,7203,7219,1412,-480.6689718585515,1607.9631381383572
1,7231,7241,694,-390.6130807668424,1217.3500573715148
-1,7719,7785,770,3528.991021771607,4746.3410791431215
-1,7946,7955,2707,-1426.929843080182,3319.4112360629397
1,8183,8186,2177,-1028.478795353234,2290.9324407097056
-1,9819,9832,1181,307.03830838403525,2597.970749093741
-1,10012,10025,1151,-774.1277629132029,1823.842986180538
-1,10700,10710,732,-535.8136405603224,1288.0293456202157
1,10856,10875,624,-398.80189498656307,889.2274506336527
-1,11165,11196,222,-114.10873135680018,775.1187192768525
1,11737,11752,329,62.61036425308208,837.7290835299345
1,11837,11898,305,302.5723180899018,1140.3014016198363
-1,12351,12365,473,-156.5472079773779,983.7541936424584
-1,14179,14192,222,-268.08680378327966,715.6673898591787
-1,14622,14636,374,45.75533130695984,761.4227211661386
-1,14914,14928,293,123.54506600634242,884.9677871724809
-1,17258,17297,303,237.97604800914218,1122.9438351816232
1,17955,18025,501,641.3901043892411,1764.3339395708642
-1,18857,18929,771,1682.5182570631248,3446.852196633989
-1,18941,18978,1677,2700.827770641792,6147.679967275781
-1,20181,20204,1805,888.907016465997,7036.586983741778
-1,20283,20313,3053,643.1674622309328,7679.7544459727105
-1,20520,20563,3010,2627.6137010045977,10307.368146977307
-1,20668,20716,3517,729.8641984814233,11037.232345458731
1,20770,20806,3559,-353.2403188697645,10683.992026588967
1,20957,20999,2256,1435.6001946240015,12119.592221212968
-1,21625,21661,3336,730.2186229319941,12849.810844144962
-1,22300,22314,5409,-2865.910225386582,9983.90061875838
1,25222,25237,3429,-1572.0656399645547,8411.834978793826
-1,25371,25393,1597,760.4708957337278,9172.305874527554
-1,25662,25707,2917,19039.982306554182,28212.288181081734
1,25856,25903,8462,13974.799444781553,42187.087625863285
1,26054,26081,8507,-1688.64955680521,40498.43806905807
-1,26139,26185,11213,-3847.4496681049727,36650.9884009531
-1,26237,26274,7849,13551.861119145715,50202.84952009882
-1,26299,26317,19605,38272.5469456999,88475.39646579872
1,26327,26331,26857,-25204.283689536514,63271.112776262205
1,26506,26549,21462,20513.21367556121,83784.3264518234
1,26577,26598,14305,4381.705669761787,88166.03212158519
1,26718,26731,17216,-23880.83016125956,64285.20196032563
-1,27697,27717,31014,-5957.580545521016,58327.62141480461
1,27964,27965,28276,-12766.969837059845,45560.651577744764
-1,28024,28047,14331,1715.49764600516,47276.149223749926
1,28156,28197,9178,-2297.966861375162,44978.18236237476
1,28361,28402,18051,-1659.1302245918398,43319.05213778292
1,28541,28611,20827,50018.4702398846,93337.52237766751
-1,28833,28860,24687,-3481.663510255251,89855.85886741226
-1,28929,28953,45959,79150.42069845577,169006.27956586803
