leg,direction,start_date,end_date,start_price,end_price,range_abs,range_pct,log_return,duration_days,velocity_per_day,ratio_to_prior_leg,nearest_fib,fib_deviation_pct,zone_vs_prior,time_ratio_to_prior,nearest_time_fib,time_fib_deviation_pct
1,DOWN,2024-07-29,2024-08-05,69985.0000,49111.0000,20874.0000,29.8264,-0.3542,7,2982.0000,,,,,,,
2,UP,2024-08-05,2024-08-08,49111.0000,62700.0000,13589.0000,27.6700,0.2443,3,4529.6667,0.6510,0.6180,5.3400,DEEP (61.8-78.6%),0.4286,0.3820,12.1915
3,DOWN,2024-08-08,2024-08-15,62700.0000,56117.7000,6582.3000,10.4981,-0.1109,7,940.3286,0.4844,0.5000,-3.1231,GOLDEN ZONE (38.2-61.8%),2.3333,2.6180,-10.8734
4,UP,2024-08-15,2024-08-25,56117.7000,65070.7000,8953.0000,15.9540,0.1480,10,895.3000,1.3602,1.4140,-3.8074,EXTENSION (>100%),1.4286,1.4140,1.0305
5,DOWN,2024-08-25,2024-09-06,65070.7000,52569.0000,12501.7000,19.2125,-0.2133,12,1041.8083,1.3964,1.4140,-1.2468,EXTENSION (>100%),1.2000,1.2720,-5.6604
6,UP,2024-09-06,2024-09-27,52569.0000,66452.8000,13883.8000,26.4106,0.2344,21,661.1333,1.1106,1.0000,11.0553,EXTENSION (>100%),1.7500,1.6180,8.1582
7,DOWN,2024-09-27,2024-10-10,66452.8000,58888.0000,7564.8000,11.3837,-0.1209,13,581.9077,0.5449,0.5000,8.9730,GOLDEN ZONE (38.2-61.8%),0.6190,0.6180,0.1695
8,UP,2024-10-10,2024-10-29,58888.0000,73574.9000,14686.9000,24.9404,0.2227,19,772.9947,1.9415,2.0000,-2.9261,EXTENSION (>100%),1.4615,1.4140,3.3620
9,DOWN,2024-10-29,2024-11-04,73574.9000,66836.0000,6738.9000,9.1592,-0.0961,6,1123.1500,0.4588,0.5000,-8.2325,GOLDEN ZONE (38.2-61.8%),0.3158,0.3820,-17.3326
10,UP,2024-11-04,2024-11-22,66836.0000,99650.0000,32814.0000,49.0963,0.3994,18,1823.0000,4.8693,4.2360,14.9514,EXTENSION (>100%),3.0000,2.6180,14.5913
11,DOWN,2024-11-22,2024-11-26,99650.0000,90736.0000,8914.0000,8.9453,-0.0937,4,2228.5000,0.2717,0.2360,15.1069,SHALLOW (<38.2%),0.2222,0.2360,-5.8380
12,UP,2024-11-26,2024-12-05,90736.0000,104015.5000,13279.5000,14.6353,0.1366,9,1475.5000,1.4897,1.4140,5.3561,EXTENSION (>100%),2.2500,2.0000,12.5000
13,DOWN,2024-12-05,2024-12-09,104015.5000,94140.9000,9874.6000,9.4934,-0.0997,4,2468.6500,0.7436,0.7860,-5.3947,DEEP (61.8-78.6%),0.4444,0.5000,-11.1111
14,UP,2024-12-09,2024-12-17,94140.9000,108297.6000,14156.7000,15.0378,0.1401,8,1769.5875,1.4336,1.4140,1.3895,EXTENSION (>100%),2.0000,2.0000,0.0000
15,DOWN,2024-12-17,2024-12-20,108297.6000,92159.0000,16138.6000,14.9021,-0.1614,3,5379.5333,1.1400,1.2720,-10.3776,EXTENSION (>100%),0.3750,0.3820,-1.8325
16,UP,2024-12-20,2024-12-26,92159.0000,99821.8000,7662.8000,8.3148,0.0799,6,1277.1333,0.4748,0.5000,-5.0376,GOLDEN ZONE (38.2-61.8%),2.0000,2.0000,0.0000
17,DOWN,2024-12-26,2024-12-30,99821.8000,91256.6000,8565.2000,8.5805,-0.0897,4,2141.3000,1.1178,1.0000,11.7764,EXTENSION (>100%),0.6667,0.6180,7.8749
18,UP,2024-12-30,2025-01-07,91256.6000,102759.3000,11502.7000,12.6048,0.1187,8,1437.8375,1.3430,1.4140,-5.0242,EXTENSION (>100%),2.0000,2.0000,0.0000
