seq,direction,entry_date,exit_date,swing_high,swing_low,entry,sl,tp,outcome,exit_price,pnl_cash,r_multiple
1,SHORT,2024-08-08,2024-10-15,69985.00,49111.00,62011.13,67155.91,49258.33,LOSS,67155.91,-50.00,-1.00
2,SHORT,2024-08-21,2024-08-23,62700.00,56117.70,60185.56,62823.67,56286.05,LOSS,62823.67,-50.00,-1.00
3,LONG,2024-08-28,2024-09-04,65070.70,56117.70,59537.75,56582.80,64875.49,LOSS,56582.80,-50.00,-1.00
4,SHORT,2024-09-13,2024-09-20,65070.70,52569.00,60295.05,63955.22,52726.71,LOSS,63955.22,-50.00,-1.00
5,SHORT,2024-10-15,2024-10-15,66452.80,58888.00,63563.05,66454.78,59064.66,LOSS,66454.78,-50.00,-1.00
6,SHORT,2024-11-07,2024-11-07,73574.90,66836.00,71000.64,73936.09,67036.51,LOSS,73936.09,-50.00,-1.00
7,SHORT,2024-11-30,2024-12-05,99650.00,90736.00,96244.85,100185.96,91008.21,LOSS,100185.96,-50.00,-1.00
8,LONG,2024-12-10,2024-12-15,104015.50,90736.00,95808.77,91238.37,103703.45,WIN,103703.45,86.37,1.73
9,SHORT,2024-12-12,2024-12-15,104015.50,94140.90,100243.40,104449.89,94423.32,LOSS,104449.89,-50.00,-1.00
10,LONG,2024-12-20,2024-12-20,108297.60,94140.90,99548.76,94741.17,107972.71,LOSS,94741.17,-50.00,-1.00
11,LONG,2024-12-31,2025-01-06,99821.80,92159.00,95086.19,91453.87,99522.33,WIN,99522.33,61.06,1.22
12,SHORT,2025-01-04,2025-01-06,99821.80,91256.60,96549.89,100438.57,91530.37,LOSS,100438.57,-50.00,-1.00
13,LONG,2025-01-09,2025-01-09,102759.30,91256.60,95650.63,91375.22,102451.02,LOSS,91375.22,-50.00,-1.00
14,SHORT,2025-01-15,2025-01-17,102759.30,89005.80,97505.46,102311.45,89272.82,LOSS,102311.45,-50.00,-1.00
15,SHORT,2025-01-31,2025-02-02,109112.00,97688.70,104748.30,109334.10,97981.77,WIN,97981.77,73.78,1.48
16,LONG,2025-02-03,2025-02-03,106414.40,97688.70,101021.92,97067.10,106095.16,LOSS,97067.10,-50.00,-1.00
17,LONG,2025-02-19,2025-02-25,101721.90,91000.00,95095.77,90962.12,101416.73,LOSS,90962.12,-50.00,-1.00
18,SHORT,2025-03-02,2025-03-10,101721.90,78219.00,92743.79,99109.59,78453.66,WIN,78453.66,112.24,2.24
19,LONG,2025-03-04,2025-03-10,95000.00,78219.00,84629.34,79764.88,94715.00,LOSS,79764.88,-50.00,-1.00
20,SHORT,2025-03-06,2025-03-09,95000.00,81434.50,89817.98,94399.41,81678.80,WIN,81678.80,88.83,1.78
21,LONG,2025-03-08,2025-03-09,92741.50,81434.50,85753.77,81757.84,92463.28,LOSS,81757.84,-50.00,-1.00
22,SHORT,2025-03-19,2025-04-07,92741.50,76615.70,86581.44,91522.84,76845.55,WIN,76845.55,98.51,1.97
23,LONG,2025-04-04,2025-04-06,89042.70,81270.30,84239.36,80860.25,88775.57,LOSS,80860.25,-50.00,-1.00
24,SHORT,2025-04-09,2025-04-09,89042.70,74409.10,83452.66,88058.89,74632.33,WIN,74632.33,95.74,1.91
25,SHORT,2025-06-10,2025-06-22,111983.20,100400.00,107558.42,112242.01,100701.20,WIN,100701.20,73.20,1.46
26,LONG,2025-06-22,2025-06-22,110550.00,100400.00,104277.30,100007.80,110218.35,LOSS,100007.80,-50.00,-1.00
27,SHORT,2025-06-25,2025-07-09,110550.00,98277.20,105861.79,110621.71,98572.03,LOSS,110621.71,-50.00,-1.00
28,SHORT,2025-08-12,2025-08-14,123140.00,111897.10,118845.21,123752.37,112232.79,LOSS,123752.37,-50.00,-1.00
29,LONG,2025-08-20,2025-08-22,124420.00,111897.10,116680.85,111712.58,124046.74,LOSS,111712.58,-50.00,-1.00
30,SHORT,2025-09-18,2025-10-03,124420.00,107255.00,117862.97,123765.36,107576.76,LOSS,123765.36,-50.00,-1.00
31,LONG,2025-10-11,2025-10-16,126198.10,107255.00,114491.26,108526.10,125819.51,LOSS,108526.10,-50.00,-1.00
32,SHORT,2025-10-23,2025-10-27,115977.70,103583.20,111243.00,116158.41,103893.95,LOSS,116158.41,-50.00,-1.00
33,LONG,2025-10-31,2025-11-04,116309.80,103583.20,108444.76,103649.03,115960.87,LOSS,103649.03,-50.00,-1.00
34,LONG,2025-11-14,2025-11-14,107400.00,98900.00,102147.00,98201.02,107077.80,LOSS,98201.02,-50.00,-1.00
35,SHORT,2025-12-03,2025-12-03,93050.00,83870.80,89543.55,93362.79,84122.41,LOSS,93362.79,-50.00,-1.00
36,LONG,2025-12-16,2026-01-05,94583.70,83870.80,87963.13,84009.28,94299.95,WIN,94299.95,80.13,1.60
37,SHORT,2026-01-05,2026-01-05,94583.70,84421.40,90701.70,94719.19,84674.66,LOSS,94719.19,-50.00,-1.00
38,LONG,2026-01-21,2026-01-29,97899.70,84421.40,89570.11,85123.11,97606.00,LOSS,85123.11,-50.00,-1.00
39,SHORT,2026-02-15,2026-02-23,72256.10,65072.20,69511.85,72486.71,65267.42,WIN,65267.42,71.34,1.43
40,LONG,2026-02-24,2026-02-24,70935.20,65072.20,67311.87,64668.71,70722.39,LOSS,64668.71,-50.00,-1.00
41,SHORT,2026-02-26,2026-03-04,70935.20,62500.00,67712.95,70858.32,62687.50,LOSS,70858.32,-50.00,-1.00
42,LONG,2026-03-01,2026-03-02,70000.00,62500.00,65365.00,62502.38,69790.00,WIN,69790.00,77.29,1.55
43,SHORT,2026-03-02,2026-03-04,70000.00,63030.00,67337.46,70221.13,63219.09,LOSS,70221.13,-50.00,-1.00
44,LONG,2026-03-07,2026-03-13,74062.10,63030.00,67244.26,63756.10,73839.91,WIN,73839.91,94.54,1.89
45,SHORT,2026-03-11,2026-03-16,74062.10,65646.20,70847.23,74067.62,65843.14,LOSS,74067.62,-50.00,-1.00
46,LONG,2026-03-20,2026-03-27,75998.10,65646.20,69600.63,66164.97,75770.11,LOSS,66164.97,-50.00,-1.00
47,SHORT,2026-04-07,2026-04-14,75998.10,64960.00,71781.55,75476.85,65154.88,LOSS,75476.85,-50.00,-1.00
48,LONG,2026-06-01,2026-06-02,82790.90,64960.00,71771.40,67056.42,82542.53,LOSS,67056.42,-50.00,-1.00
