direction,entry_price,entry_date,entry_ci,stop_loss,swing_range,swing_range_pct,stop_dist_pct,rr_ratio,target_px,adx_at_entry,atr_at_entry,candles_to_entry,trend_age_candles,trend_swing_count,ref_HH,ref_HL,exit_price,exit_date,exit_ci,result,exit_reason,candles_held,adx_at_exit,pnl_pct,ref_LH,ref_LL,reason_cat
LONG,11403.84,2020-10-18,26,11145.99,524.78,4.6,2.26,2.04,11928.62,23.3,273.45,2,9,3,11726.78,11202.0,19918.91,2020-12-01,70,WIN,New HH @19919,44,42.6,74.67,,,New HH
LONG,54844.72,2021-03-26,185,50231.58,11337.87,20.67,8.41,2.46,66182.59,27.3,4203.74,1,85,7,61821.87,50484.0,55478.26,2021-04-07,197,WIN,HL confirmed @55478,12,15.3,1.16,,,HL confirmed
SHORT,57970.41,2021-05-01,221,65179.03,17899.32,30.88,12.43,2.48,40071.09,24.6,3414.36,6,10,2,,,59532.82,2021-05-10,230,WIN,New LH @59533,9,19.2,-2.7,64854.76,46955.44,New LH
SHORT,54695.37,2021-05-12,232,59830.48,12577.38,23.0,9.39,2.45,42117.99,21.2,3878.94,2,21,3,,,27446.47,2021-05-19,239,WIN,New LL @27446,7,37.1,49.82,59532.82,46955.44,New LL
SHORT,34851.63,2021-06-07,258,39677.26,12033.39,34.53,13.85,2.49,22818.24,56.5,3819.93,4,47,5,,,39677.26,2021-06-14,265,LOSS,Stop Loss,7,47.0,-13.85,39479.86,27446.47,Stop Loss
LONG,32799.46,2021-06-21,272,27309.24,13917.78,42.43,16.74,2.54,46717.24,40.0,3221.36,6,6,1,41364.25,27446.47,28791.23,2021-06-22,273,WIN,HL confirmed @28791,1,40.7,-12.22,,,HL confirmed
LONG,33627.01,2021-06-23,274,28647.27,12573.02,37.39,14.81,2.52,46200.03,40.6,3301.75,1,8,2,41364.25,28791.23,29283.18,2021-07-20,301,WIN,HL confirmed @29283,27,28.9,-12.92,,,HL confirmed
LONG,33929.75,2021-07-24,305,29136.76,12081.07,35.61,14.13,2.52,46010.82,24.1,1820.53,4,39,3,41364.25,29283.18,48146.26,2021-08-14,326,WIN,New HH @48146,21,36.9,41.9,,,New HH
LONG,47911.63,2021-08-27,339,46062.43,4206.1,8.78,3.86,2.27,52117.73,33.7,2352.69,1,73,7,50500.0,46293.9,52922.96,2021-09-07,350,WIN,New HH @52923,11,27.5,10.46,,,New HH
SHORT,48203.85,2021-09-19,362,52008.75,9220.0,19.13,7.89,2.42,38983.85,22.2,2493.35,1,12,2,,,39583.25,2021-09-21,364,WIN,New LL @39583,2,22.5,17.88,51750.0,42530.0,New LL
